"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster","geo_km"
"15-NGO","22-OMI",0.345972451896803,3.6687,32.5914,3.0113,32.7323,"Northern","Northern",74.8378312598817
"03-DUK","22-OMI",0.383830161722899,3.2671,31.1352,3.0113,32.7323,"Northern","Northern",179.790730157364
"17-LAG","22-OMI",0.34587029463013,3.4407,32.8529,3.0113,32.7323,"Northern","Northern",49.6443234779412
"12-OLO","22-OMI",0.337057196782758,3.4016,32.011,3.0113,32.7323,"Northern","Northern",91.185409564278
"14-OKS","22-OMI",0.295828833871116,3.2599,32.2241,3.0113,32.7323,"Northern","Northern",62.9025112707176
"01-AIN","22-OMI",0.354854173494662,3.3044,31.1191,3.0113,32.7323,"Northern","Northern",182.252085307133
"09-ORB","22-OMI",0.356886121521312,3.6922,31.7799,3.0113,32.7323,"Northern","Northern",130.180954556767
"20-TUM","24-KIL",0.278741896187244,3.2421,32.7608,2.7403,32.9502,"Northern","Northern",59.6964911887914
"12-OLO","24-KIL",0.339950989435027,3.4016,32.011,2.7403,32.9502,"Northern","Northern",127.74476852513
"09-ORB","24-KIL",0.373427621142829,3.6922,31.7799,2.7403,32.9502,"Northern","Northern",167.770427961349
"08-MY","24-KIL",0.336808269329389,3.6828,31.727,2.7403,32.9502,"Northern","Northern",171.727928225507
"15-NGO","24-KIL",0.356772034139225,3.6687,32.5914,2.7403,32.9502,"Northern","Northern",110.775975985557
"10-PAG","24-KIL",0.324715597382016,3.3777,31.994,2.7403,32.9502,"Northern","Northern",127.798649790596
"03-DUK","24-KIL",0.388063660754379,3.2671,31.1352,2.7403,32.9502,"Northern","Northern",210.116057752193
"22-OMI","24-KIL",0.273302300989269,3.0113,32.7323,2.7403,32.9502,"Northern","Northern",38.6908191640491
"01-AIN","24-KIL",0.363534799987028,3.3044,31.1191,2.7403,32.9502,"Northern","Northern",213.018707935962
"14-OKS","24-KIL",0.319573942744876,3.2599,32.2241,2.7403,32.9502,"Northern","Northern",99.3028220861701
"21-KT","24-KIL",0.373270867622509,3.1709,32.8049,2.7403,32.9502,"Northern","Northern",50.5827020823506
"07-OSG","24-KIL",0.341169906887629,3.211,31.7253,2.7403,32.9502,"Northern","Northern",145.90442396607
"17-LAG","24-KIL",0.36266926586719,3.4407,32.8529,2.7403,32.9502,"Northern","Northern",78.7147521319802
"18-BOL","24-KIL",0.281946110267056,3.2934,32.7822,2.7403,32.9502,"Northern","Northern",64.3408564694984
"02-GAN","24-KIL",0.378641879099117,3.2521,31.1231,2.7403,32.9502,"Northern","Northern",210.95234203243
"19-KTC","24-KIL",0.306952020250786,3.2823,32.8232,2.7403,32.9502,"Northern","Northern",61.9649091668543
"01-AIN","25-CHU",0.375643524844116,3.3044,31.1191,2.6069,32.9379,"Northern","Northern",216.593023014495
"14-OKS","25-CHU",0.313356964881416,3.2599,32.2241,2.6069,32.9379,"Northern","Northern",107.616618642958
"17-LAG","25-CHU",0.372461087981736,3.4407,32.8529,2.6069,32.9379,"Northern","Northern",93.2979010650071
"22-OMI","25-CHU",0.280151234131176,3.0113,32.7323,2.6069,32.9379,"Northern","Northern",50.4891284167303
"20-TUM","25-CHU",0.274641614241225,3.2421,32.7608,2.6069,32.9379,"Northern","Northern",73.4001153522559
"02-GAN","25-CHU",0.370307265954383,3.2521,31.1231,2.6069,32.9379,"Northern","Northern",214.160414924487
"24-KIL","25-CHU",0.220817092294291,2.7403,32.9502,2.6069,32.9379,"Northern","Northern",14.9128738364195
"03-DUK","25-CHU",0.387762687347525,3.2671,31.1352,2.6069,32.9379,"Northern","Northern",213.461412523856
"12-OLO","25-CHU",0.35547431681327,3.4016,32.011,2.6069,32.9379,"Northern","Northern",135.806032812633
"08-MY","25-CHU",0.333562968525708,3.6828,31.727,2.6069,32.9379,"Northern","Northern",180.165122634088
"10-PAG","25-CHU",0.360380223792296,3.3777,31.994,2.6069,32.9379,"Northern","Northern",135.546665425271
"09-ORB","25-CHU",0.380172052999063,3.6922,31.7799,2.6069,32.9379,"Northern","Northern",176.530099616719
"15-NGO","25-CHU",0.367925216628248,3.6687,32.5914,2.6069,32.9379,"Northern","Northern",124.315430243093
"18-BOL","25-CHU",0.267423385298171,3.2934,32.7822,2.6069,32.9379,"Northern","Northern",78.3566053121903
"21-KT","25-CHU",0.380838478675876,3.1709,32.8049,2.6069,32.9379,"Northern","Northern",64.5019293593832
"07-OSG","25-CHU",0.353071615872591,3.211,31.7253,2.6069,32.9379,"Northern","Northern",150.653351420861
"19-KTC","25-CHU",0.294999071820966,3.2823,32.8232,2.6069,32.9379,"Northern","Northern",76.2588383932058
"09-ORB","26-OG",0.390595528228788,3.6922,31.7799,2.4384,32.9124,"Northern","Northern",187.95700710768
"21-KT","26-OG",0.365236723726514,3.1709,32.8049,2.4384,32.9124,"Northern","Northern",82.4128702687096
"18-BOL","26-OG",0.26506957615039,3.2934,32.7822,2.4384,32.9124,"Northern","Northern",96.2726551578701
"22-OMI","26-OG",0.27219752721578,3.0113,32.7323,2.4384,32.9124,"Northern","Northern",66.8451845595913
"12-OLO","26-OG",0.345391948751523,3.4016,32.011,2.4384,32.9124,"Northern","Northern",146.762343070515
"01-AIN","26-OG",0.336056830719377,3.3044,31.1191,2.4384,32.9124,"Northern","Northern",221.460006086842
"17-LAG","26-OG",0.36711110474734,3.4407,32.8529,2.4384,32.9124,"Northern","Northern",111.771428813186
"15-NGO","26-OG",0.348383245641908,3.6687,32.5914,2.4384,32.9124,"Northern","Northern",141.528306535228
"07-OSG","26-OG",0.33520798785424,3.211,31.7253,2.4384,32.9124,"Northern","Northern",157.53471098648
"25-CHU","26-OG",0.21804934872329,2.6069,32.9379,2.4384,32.9124,"Northern","Northern",18.9705004414961
"20-TUM","26-OG",0.274511534802315,3.2421,32.7608,2.4384,32.9124,"Northern","Northern",91.0413401308639
"08-MY","26-OG",0.338538382290459,3.6828,31.727,2.4384,32.9124,"Northern","Northern",191.185937072099
"03-DUK","26-OG",0.363153915799218,3.2671,31.1352,2.4384,32.9124,"Northern","Northern",218.064175409701
"10-PAG","26-OG",0.340201547078952,3.3777,31.994,2.4384,32.9124,"Northern","Northern",146.14485847615
"24-KIL","26-OG",0.242281913406248,2.7403,32.9502,2.4384,32.9124,"Northern","Northern",33.8692236179317
"19-KTC","26-OG",0.297532227978221,3.2823,32.8232,2.4384,32.9124,"Northern","Northern",94.4645347916519
"14-OKS","26-OG",0.297077304305389,3.2599,32.2241,2.4384,32.9124,"Northern","Northern",119.243931621298
"02-GAN","26-OG",0.342989502196883,3.2521,31.1231,2.4384,32.9124,"Northern","Northern",218.587910581957
"15-NGO","27-OCA",0.325425783504563,3.6687,32.5914,2.4272,32.6285,"Northern","Northern",138.264665356775
"19-KTC","27-OCA",0.294428747781269,3.2823,32.8232,2.4272,32.6285,"Northern","Northern",97.6196002687233
"17-LAG","27-OCA",0.357378065867077,3.4407,32.8529,2.4272,32.6285,"Northern","Northern",115.547506122705
"18-BOL","27-OCA",0.279237254446924,3.2934,32.7822,2.4272,32.6285,"Northern","Northern",97.9274246597746
"07-OSG","27-OCA",0.318604077179464,3.211,31.7253,2.4272,32.6285,"Northern","Northern",133.031521603309
"12-OLO","27-OCA",0.344054845225803,3.4016,32.011,2.4272,32.6285,"Northern","Northern",128.368636645174
"25-CHU","27-OCA",0.216421864028268,2.6069,32.9379,2.4272,32.6285,"Northern","Northern",39.8013093342924
"09-ORB","27-OCA",0.396604632061861,3.6922,31.7799,2.4272,32.6285,"Northern","Northern",169.49341467088
"14-OKS","27-OCA",0.3118995841865,3.2599,32.2241,2.4272,32.6285,"Northern","Northern",103.024566590158
"22-OMI","27-OCA",0.308033486259565,3.0113,32.7323,2.4272,32.6285,"Northern","Northern",66.0381621793807
"24-KIL","27-OCA",0.247001460717235,2.7403,32.9502,2.4272,32.6285,"Northern","Northern",49.9466041928905
"10-PAG","27-OCA",0.35386627821113,3.3777,31.994,2.4272,32.6285,"Northern","Northern",127.167547939992
