"Population","Allelic_Richness","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File","FIS","Ho","He"
"63-DB",2.32763274360648,32,32,15,0,3.46573590279973,32,0.96875,1,0.424116161616162,-0.0474321747213672,-0.00551443224023724,"Gff.genind_rf",-0.024,0.437,0.424
"64-KL",2.55391511704683,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.478970080552359,0.052661988010803,0.00590189439899324,"Gff.genind_rf",0.015,0.482,0.479
"65-BZ",2.71860872579303,18,18,15,1.05367121277235e-07,2.89037175789616,18,0.944444444444444,1,0.485933436735576,0.0639967585780379,0.00722450001115712,"Gff.genind_rf",0.068,0.461,0.488
"66-BY",2.87108723833228,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.499510928963332,-0.0392102244577958,-0.00413034808819679,"Gff.genind_rf",-0.004,0.493,0.499
"68-LI",3.04946265067028,46,46,15,0,3.8286413964891,46,0.978260869565217,1,0.524482577042494,-0.00225849917987819,-0.000230568538141558,"Gff.genind_rf",0.002,0.532,0.527
"69-BV",2.83087891587546,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.517510609071821,0.0152374857833657,0.0016137416662953,"Gff.genind_rf",0.061,0.489,0.517
"70-MGG",2.98534238496377,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.522662993572084,-0.0570007855314607,-0.0063762294542619,"Gff.genind_rf",0.005,0.519,0.521
"71-BD",2.9006399462949,35,35,15,9.65705618025044e-07,3.55534806148941,35,0.971428571428571,1,0.511200538372283,-0.11039627368644,-0.0124005297769684,"Gff.genind_rf",0.002,0.512,0.51
"72-JN",2.57236412488816,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.444443837711962,0.0694288368338827,0.00741807142063817,"Gff.genind_rf",0.029,0.433,0.446
"73-IGG",2.93251568713677,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.517133855581069,0.0296155028898739,0.00330080914947209,"Gff.genind_rf",0.062,0.485,0.516
"74-NAM",3.07783203559836,15,15,15,0,2.70805020110221,15,0.933333333333333,1,0.544601018394122,-0.173733617523017,-0.0195023913385798,"Gff.genind_rf",-0.026,0.559,0.544
"76-TB",2.78384595369076,28,28,14.9999999999999,0,3.3322045101752,28,0.964285714285714,1,0.511992374826599,-0.0019089854982578,-0.000214706875268451,"Gff.genind_rf",0.018,0.499,0.512
"78-OK",2.78182191415807,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.505444470630315,-0.0299299028782872,-0.00323838114286743,"Gff.genind_rf",0.073,0.472,0.51
"79-BU",2.83078513966771,50,50,14.9999999999998,0,3.91202300542815,50,0.98,1,0.498563772105076,0.0150386981756594,0.0015491240033086,"Gff.genind_rf",0.106,0.451,0.495
"81-BUD",2.85698708848377,24,24,15,4.62656459100843e-07,3.17805383034795,24,0.958333333333333,1,0.511027955913936,0.0637550167391037,0.00808990780151616,"Gff.genind_rf",0.067,0.484,0.511
"82-BON",2.84600133615111,24,24,15,4.62656459100843e-07,3.17805383034795,24,0.958333333333333,1,0.536680858404136,0.349669262482822,0.0439954173647087,"Gff.genind_rf",-0.08,0.577,0.536
"83-ND",2.12728742279747,40,40,15.0000000000001,1.80396389370222e-06,3.68887945411394,40,0.975,1,0.353768699654776,0.204194236098301,0.0258259005169672,"Gff.genind_rf",0.005,0.355,0.353
"84-MAN",2.4098989581717,35,35,15,9.65705618025044e-07,3.55534806148941,35,0.971428571428571,1,0.396351500670698,0.0711336442028052,0.009257411196055,"Gff.genind_rf",-0.017,0.406,0.395
"85-KSS",2.24732771058584,35,35,15,9.65705618025044e-07,3.55534806148941,35,0.971428571428571,1,0.362269324878021,-0.0526921757435659,-0.00698249763144796,"Gff.genind_rf",0.044,0.345,0.363
"86-SUB",1.95521808058616,24,24,15,4.62656459100843e-07,3.17805383034795,24,0.958333333333333,1,0.289448460285283,0.0464815461746906,0.00715430279097421,"Gff.genind_rf",0.02,0.289,0.293
"87-KAR",2.17251711672506,24,23,14.6195652173913,0.485493726829028,3.12029156530128,22.1538461538462,0.954861111111111,0.976948333682794,0.375205144678554,0.033730643786037,0.00451452826242574,"Gff.genind_rf",0.295,0.261,0.379
"Total",NA,2068,2067,14.9999508720995,0.0070119833354107,7.6336668805214,2066.00193236715,0.999515973347201,0.999703604946409,0.664319874167143,0.782771097575989,0.0790886551492791,"Gff.genind_rf",NA,NA,NA
