"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster"
"07-OSG","21-KT",0.372858709129952,3.211,31.7253,3.1709,32.8049,"north","north"
"10-PAG","21-KT",0.364129725839899,3.3777,31.994,3.1709,32.8049,"north","north"
"19-KTC","21-KT",0.296829547496298,3.2823,32.8232,3.1709,32.8049,"north","north"
"12-OLO","21-KT",0.401902381707772,3.4016,32.011,3.1709,32.8049,"north","north"
"03-DUK","21-KT",0.415602243936727,3.2671,31.1352,3.1709,32.8049,"north","north"
"14-OKS","21-KT",0.339615544151842,3.2599,32.2241,3.1709,32.8049,"north","north"
"08-MY","21-KT",0.412068897441116,3.6828,31.727,3.1709,32.8049,"north","north"
"02-GAN","21-KT",0.395808719818457,3.2521,31.1231,3.1709,32.8049,"north","north"
"18-BOL","21-KT",0.336599187567423,3.2934,32.7822,3.1709,32.8049,"north","north"
"19-KTC","22-OMI",0.252309096464661,3.2823,32.8232,3.0113,32.7323,"north","north"
"08-MY","22-OMI",0.339537460860718,3.6828,31.727,3.0113,32.7323,"north","north"
"20-TUM","22-OMI",0.244907106036215,3.2421,32.7608,3.0113,32.7323,"north","north"
"18-BOL","22-OMI",0.245711289300492,3.2934,32.7822,3.0113,32.7323,"north","north"
"07-OSG","22-OMI",0.334575691120854,3.211,31.7253,3.0113,32.7323,"north","north"
"10-PAG","22-OMI",0.312911506570574,3.3777,31.994,3.0113,32.7323,"north","north"
"21-KT","22-OMI",0.338736172916464,3.1709,32.8049,3.0113,32.7323,"north","north"
"02-GAN","22-OMI",0.361963110601112,3.2521,31.1231,3.0113,32.7323,"north","north"
"15-NGO","22-OMI",0.345972451896803,3.6687,32.5914,3.0113,32.7323,"north","north"
"03-DUK","22-OMI",0.383830161722899,3.2671,31.1352,3.0113,32.7323,"north","north"
"17-LAG","22-OMI",0.34587029463013,3.4407,32.8529,3.0113,32.7323,"north","north"
"12-OLO","22-OMI",0.337057196782758,3.4016,32.011,3.0113,32.7323,"north","north"
"14-OKS","22-OMI",0.295828833871116,3.2599,32.2241,3.0113,32.7323,"north","north"
"01-AIN","22-OMI",0.354854173494662,3.3044,31.1191,3.0113,32.7323,"north","north"
"09-ORB","22-OMI",0.356886121521312,3.6922,31.7799,3.0113,32.7323,"north","north"
"20-TUM","24-KIL",0.278741896187244,3.2421,32.7608,2.7403,32.9502,"north","north"
"12-OLO","24-KIL",0.339950989435027,3.4016,32.011,2.7403,32.9502,"north","north"
"09-ORB","24-KIL",0.373427621142829,3.6922,31.7799,2.7403,32.9502,"north","north"
"08-MY","24-KIL",0.336808269329389,3.6828,31.727,2.7403,32.9502,"north","north"
"15-NGO","24-KIL",0.356772034139225,3.6687,32.5914,2.7403,32.9502,"north","north"
"10-PAG","24-KIL",0.324715597382016,3.3777,31.994,2.7403,32.9502,"north","north"
"03-DUK","24-KIL",0.388063660754379,3.2671,31.1352,2.7403,32.9502,"north","north"
"22-OMI","24-KIL",0.273302300989269,3.0113,32.7323,2.7403,32.9502,"north","north"
"01-AIN","24-KIL",0.363534799987028,3.3044,31.1191,2.7403,32.9502,"north","north"
"14-OKS","24-KIL",0.319573942744876,3.2599,32.2241,2.7403,32.9502,"north","north"
"21-KT","24-KIL",0.373270867622509,3.1709,32.8049,2.7403,32.9502,"north","north"
"07-OSG","24-KIL",0.341169906887629,3.211,31.7253,2.7403,32.9502,"north","north"
"17-LAG","24-KIL",0.36266926586719,3.4407,32.8529,2.7403,32.9502,"north","north"
"18-BOL","24-KIL",0.281946110267056,3.2934,32.7822,2.7403,32.9502,"north","north"
"02-GAN","24-KIL",0.378641879099117,3.2521,31.1231,2.7403,32.9502,"north","north"
"19-KTC","24-KIL",0.306952020250786,3.2823,32.8232,2.7403,32.9502,"north","north"
"01-AIN","25-CHU",0.375643524844116,3.3044,31.1191,2.6069,32.9379,"north","north"
"14-OKS","25-CHU",0.313356964881416,3.2599,32.2241,2.6069,32.9379,"north","north"
"17-LAG","25-CHU",0.372461087981736,3.4407,32.8529,2.6069,32.9379,"north","north"
"22-OMI","25-CHU",0.280151234131176,3.0113,32.7323,2.6069,32.9379,"north","north"
"20-TUM","25-CHU",0.274641614241225,3.2421,32.7608,2.6069,32.9379,"north","north"
"02-GAN","25-CHU",0.370307265954383,3.2521,31.1231,2.6069,32.9379,"north","north"
"24-KIL","25-CHU",0.220817092294291,2.7403,32.9502,2.6069,32.9379,"north","north"
"03-DUK","25-CHU",0.387762687347525,3.2671,31.1352,2.6069,32.9379,"north","north"
"12-OLO","25-CHU",0.35547431681327,3.4016,32.011,2.6069,32.9379,"north","north"
"08-MY","25-CHU",0.333562968525708,3.6828,31.727,2.6069,32.9379,"north","north"
"10-PAG","25-CHU",0.360380223792296,3.3777,31.994,2.6069,32.9379,"north","north"
"09-ORB","25-CHU",0.380172052999063,3.6922,31.7799,2.6069,32.9379,"north","north"
"15-NGO","25-CHU",0.367925216628248,3.6687,32.5914,2.6069,32.9379,"north","north"
"18-BOL","25-CHU",0.267423385298171,3.2934,32.7822,2.6069,32.9379,"north","north"
"21-KT","25-CHU",0.380838478675876,3.1709,32.8049,2.6069,32.9379,"north","north"
"07-OSG","25-CHU",0.353071615872591,3.211,31.7253,2.6069,32.9379,"north","north"
"19-KTC","25-CHU",0.294999071820966,3.2823,32.8232,2.6069,32.9379,"north","north"
"09-ORB","26-OG",0.390595528228788,3.6922,31.7799,2.4384,32.9124,"north","north"
"21-KT","26-OG",0.365236723726514,3.1709,32.8049,2.4384,32.9124,"north","north"
"18-BOL","26-OG",0.26506957615039,3.2934,32.7822,2.4384,32.9124,"north","north"
"22-OMI","26-OG",0.27219752721578,3.0113,32.7323,2.4384,32.9124,"north","north"
"12-OLO","26-OG",0.345391948751523,3.4016,32.011,2.4384,32.9124,"north","north"
"01-AIN","26-OG",0.336056830719377,3.3044,31.1191,2.4384,32.9124,"north","north"
"17-LAG","26-OG",0.36711110474734,3.4407,32.8529,2.4384,32.9124,"north","north"
"15-NGO","26-OG",0.348383245641908,3.6687,32.5914,2.4384,32.9124,"north","north"
"07-OSG","26-OG",0.33520798785424,3.211,31.7253,2.4384,32.9124,"north","north"
"25-CHU","26-OG",0.21804934872329,2.6069,32.9379,2.4384,32.9124,"north","north"
"20-TUM","26-OG",0.274511534802315,3.2421,32.7608,2.4384,32.9124,"north","north"
"08-MY","26-OG",0.338538382290459,3.6828,31.727,2.4384,32.9124,"north","north"
"03-DUK","26-OG",0.363153915799218,3.2671,31.1352,2.4384,32.9124,"north","north"
"10-PAG","26-OG",0.340201547078952,3.3777,31.994,2.4384,32.9124,"north","north"
"24-KIL","26-OG",0.242281913406248,2.7403,32.9502,2.4384,32.9124,"north","north"
"19-KTC","26-OG",0.297532227978221,3.2823,32.8232,2.4384,32.9124,"north","north"
"14-OKS","26-OG",0.297077304305389,3.2599,32.2241,2.4384,32.9124,"north","north"
"02-GAN","26-OG",0.342989502196883,3.2521,31.1231,2.4384,32.9124,"north","north"
"15-NGO","27-OCA",0.325425783504563,3.6687,32.5914,2.4272,32.6285,"north","north"
"19-KTC","27-OCA",0.294428747781269,3.2823,32.8232,2.4272,32.6285,"north","north"
"17-LAG","27-OCA",0.357378065867077,3.4407,32.8529,2.4272,32.6285,"north","north"
"18-BOL","27-OCA",0.279237254446924,3.2934,32.7822,2.4272,32.6285,"north","north"
"07-OSG","27-OCA",0.318604077179464,3.211,31.7253,2.4272,32.6285,"north","north"
"12-OLO","27-OCA",0.344054845225803,3.4016,32.011,2.4272,32.6285,"north","north"
"25-CHU","27-OCA",0.216421864028268,2.6069,32.9379,2.4272,32.6285,"north","north"
"09-ORB","27-OCA",0.396604632061861,3.6922,31.7799,2.4272,32.6285,"north","north"
"14-OKS","27-OCA",0.3118995841865,3.2599,32.2241,2.4272,32.6285,"north","north"
"22-OMI","27-OCA",0.308033486259565,3.0113,32.7323,2.4272,32.6285,"north","north"
"24-KIL","27-OCA",0.247001460717235,2.7403,32.9502,2.4272,32.6285,"north","north"
"10-PAG","27-OCA",0.35386627821113,3.3777,31.994,2.4272,32.6285,"north","north"
"08-MY","27-OCA",0.330919001522132,3.6828,31.727,2.4272,32.6285,"north","north"
"21-KT","27-OCA",0.383711801874856,3.1709,32.8049,2.4272,32.6285,"north","north"
"26-OG","27-OCA",0.248962251283477,2.4384,32.9124,2.4272,32.6285,"north","north"
"01-AIN","27-OCA",0.356733453075631,3.3044,31.1191,2.4272,32.6285,"north","north"
"03-DUK","27-OCA",0.388232194120695,3.2671,31.1352,2.4272,32.6285,"north","north"
"02-GAN","27-OCA",0.343346399007787,3.2521,31.1231,2.4272,32.6285,"north","north"
"20-TUM","27-OCA",0.303913722901084,3.2421,32.7608,2.4272,32.6285,"north","north"
"03-DUK","28-AKA",0.379025103079213,3.2671,31.1352,2.3722,32.6757,"north","north"
"17-LAG","28-AKA",0.360764759614064,3.4407,32.8529,2.3722,32.6757,"north","north"
"19-KTC","28-AKA",0.289103419237562,3.2823,32.8232,2.3722,32.6757,"north","north"
"12-OLO","28-AKA",0.337544429073361,3.4016,32.011,2.3722,32.6757,"north","north"
"08-MY","28-AKA",0.374521290363237,3.6828,31.727,2.3722,32.6757,"north","north"
"10-PAG","28-AKA",0.364887365010732,3.3777,31.994,2.3722,32.6757,"north","north"
