"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster","pix_dist","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","alt_mean","slope_mean","riv_3km_mean","samp_20km_mean","lakes_mean","BIO1_median","BIO2_median","BIO3_median","BIO4_median","BIO5_median","BIO6_median","BIO7_median","BIO8S_median","BIO9S_median","BIO10S_median","BIO11S_median","BIO12_median","BIO13_median","BIO14_median","BIO15_median","BIO16S_median","BIO17S_median","BIO18S_median","BIO19S_median","alt_median","slope_median","riv_3km_median","samp_20km_median","lakes_median","BIO1_mode","BIO2_mode","BIO3_mode","BIO4_mode","BIO5_mode","BIO6_mode","BIO7_mode","BIO8S_mode","BIO9S_mode","BIO10S_mode","BIO11S_mode","BIO12_mode","BIO13_mode","BIO14_mode","BIO15_mode","BIO16S_mode","BIO17S_mode","BIO18S_mode","BIO19S_mode","alt_mode","slope_mode","riv_3km_mode","samp_20km_mode","lakes_mode"
"20-TUM","24-KIL",0.278741896187244,3.2421,32.7608,2.7403,32.9502,"north","north",85,2972.25456973805,90.7513074089499,63.5982409757726,1581.09746524586,3058.17451459099,2914.98823529412,143.186274988511,63.0101306690889,126.189215805951,190.237254602769,118.57843134263,1224.66078814338,267.829411405676,6.82941179836498,77.4425446454216,2982.26210075827,2955.9813849954,2966.8558794807,2956.88333237592,983.04159079159,1.33436185191659,1.48716249366879e-12,1.73714658874933e-11,0,2971.66674804688,90.7777786254883,63.6292304992676,1577.23168945312,3057.66674804688,2914.33325195312,143.16667175293,62.8611106872559,125.916664123535,188.08332824707,118.5,1223.16662597656,266.166656494141,6.83333349227905,77.52099609375,2981.77783203125,2955.25,2966.25,2956.16674804688,995.815673828125,1.35224318504333,7.57829725622078e-13,1.50013595295873e-11,0,2971.54174804688,90.6666641235352,64.0853729248047,1512.99523925781,3057.5,2914.16674804688,143.16667175293,64.4722213745117,122.333335876465,184.5,115.666664123535,1177,259,6.83333349227905,78.7567520141602,2980.83325195312,2955.25,2966.41674804688,2956.16674804688,901.317626953125,1.98079669475555,3.97930126350143e-12,2.74465727923001e-11,0
"12-OLO","24-KIL",0.339950989435027,3.4016,32.011,2.7403,32.9502,"north","north",194,2976.54886839562,90.1631586133819,63.1695995330811,1575.26518139397,3063.35052427312,2919.96563783626,143.38487967265,76.3205898717507,141.398195836962,215.57087652462,133.542954513707,1409.98539560849,313.936424176718,8.01804127152433,78.2062330737556,2986.04596136034,2961.14734264256,2971.86169181902,2961.65808483006,885.636399416579,2.11183715081707,2.01548085600816e-12,1.06369552945057e-11,0,2974.625,90.3888854980469,63.1802558898926,1563.82080078125,3061.33325195312,2918.58325195312,143.33332824707,73.8888893127441,138.958335876465,212,130.583335876465,1380.25,308.166656494141,7.83333349227905,77.5463485717773,2984.09729003906,2959.91662597656,2970.75,2960.125,899.570922851562,1.63501220941544,1.91728675037056e-12,1.19268241116632e-11,0,2971.34716796875,90.4444427490234,62.8874664306641,1651.88647460938,3057.66674804688,2914,143.16667175293,68.6666641235352,134.58332824707,179.16667175293,128.33332824707,1467.5,308,9.16666698455811,80.2853927612305,2982.91674804688,2956.75,2965.16674804688,2957.41674804688,656.098754882812,1.15770208835602,3.00494720252564e-12,1.47187418503281e-11,0
"09-ORB","24-KIL",0.373427621142829,3.6922,31.7799,2.7403,32.9502,"north","north",257,2978.0538230332,89.8463032050819,63.1243421502614,1560.4197447068,3064.84825757691,2921.81128309673,143.036965396154,75.7414614458492,146.120622479034,235.318742269672,140.011348590777,1441.21660023255,336.861218582331,7.55771728805067,81.2460110438009,2987.25205382113,2962.8437082016,2973.93613300249,2963.27853975407,843.821675935144,2.31108369176722,1.83440465995238e-12,9.71884252139312e-12,0,2982.15283203125,90.2222213745117,63.1224212646484,1554.22680664062,3069.16674804688,2926.16674804688,143.33332824707,70.9166641235352,139.5,226.83332824707,133.41667175293,1370.33337402344,323,7.16666650772095,81.3901672363281,2991.0556640625,2967.16674804688,2978.5,2967.5,766.757202148438,1.55721163749695,1.77310846127127e-12,1.0058037736016e-11,0,2971.34716796875,90.4444427490234,62.8874664306641,1532.13354492188,3072.33325195312,2928.83325195312,143.66667175293,68.7777786254883,139.75,181.91667175293,135.33332824707,1210.33337402344,320.166656494141,6.83333349227905,84.5902786254883,2993.33325195312,2969.58325195312,2965.16674804688,2957.41674804688,927.709777832031,3.79273581504822,7.11139927869232e-14,1.25073345777493e-11,0
"08-MY","24-KIL",0.336808269329389,3.6828,31.727,2.7403,32.9502,"north","north",261,2978.33740889158,89.7987969643311,63.0898493624282,1563.55607751137,3065.16603994552,2922.12132292415,143.044700184088,75.1791188762563,147.869412272369,238.317688865223,141.954980521367,1448.50446889592,341.833971103946,7.42145598437138,81.8793504210724,2987.52831189386,2963.1411235707,2974.24330905023,2963.56257670318,838.715954776925,2.3963855555802,1.67786806761412e-12,1.02275164477585e-11,0,2981.70825195312,90.1944427490234,63.1111946105957,1558.74768066406,3068.66674804688,2925.66674804688,143.33332824707,71.6666641235352,138.83332824707,226.5,133,1373,323.5,7.16666650772095,81.4033355712891,2990.83325195312,2966.66674804688,2977.66674804688,2967,767.843017578125,1.53564119338989,1.57412266815066e-12,1.14741705720123e-11,0,2971.34716796875,90.4444427490234,62.8874664306641,1534.23937988281,3076.66674804688,2928.83325195312,143.66667175293,68.7777786254883,137.75,181.91667175293,133.41667175293,1210.33337402344,326.166656494141,7.33333349227905,85.0108642578125,2986.47216796875,2970.08325195312,2965.16674804688,2957.41674804688,934.170166015625,2.85585832595825,6.83840137294389e-13,1.22752424544514e-11,0
"15-NGO","24-KIL",0.356772034139225,3.6687,32.5914,2.7403,32.9502,"north","north",157,2970.293880001,90.7107220303481,64.0818234097426,1505.08610699891,3055.59024650428,2913.4416146248,142.14862011952,71.439136845291,141.798832061184,216.420381776846,134.090233578044,1362.26326989824,301.748407837692,7.69320594581069,78.3930686902089,2979.61819360818,2954.69480244825,2965.78927242984,2955.52654135151,993.734500569143,1.42105741713457,1.52213574010079e-12,1.6731876442012e-11,0,2970.16674804688,90.75,64.2597579956055,1514.11401367188,3055.66674804688,2913.16674804688,141.83332824707,71.0555572509766,138.33332824707,208.83332824707,130.16667175293,1338.33337402344,290.166656494141,7.66666650772095,77.8730850219727,2980,2954.41674804688,2965.5,2955.25,1004.04260253906,1.38986396789551,1.58637718846583e-12,1.46415778806697e-11,0,2969.91674804688,90.8611145019531,64.5124893188477,1415.34924316406,3054.66674804688,2913.16674804688,141.16667175293,79.9444427490234,153.5,195.91667175293,143.5,1421.83337402344,312.833343505859,7,80.1236572265625,2982.0556640625,2954.25,2964.33325195312,2955.16674804688,914.403991699219,2.32927513122559,3.04022779173962e-12,7.19986787203752e-12,0
"10-PAG","24-KIL",0.324715597382016,3.3777,31.994,2.7403,32.9502,"north","north",193,2975.47863326789,90.1308286597692,63.1793543958911,1574.03580961079,3062.21848308978,2918.91105185395,143.307426966534,77.1954520230466,143.247409445017,217.463298975495,134.718480085462,1427.88082964803,318.460275600611,8.12780660915869,78.2595218006193,2984.96085021656,2960.13514385322,2970.78670964216,2960.63990143297,904.092917644916,2.12728297525119,2.0565583664026e-12,1.05536882980243e-11,0,2973.41674804688,90.3333358764648,63.2096519470215,1560.24243164062,3060,2916.83325195312,143.33332824707,74.6111145019531,139.75,214.58332824707,131.91667175293,1386,316.166656494141,7.83333349227905,77.5729217529297,2982.97216796875,2957.91674804688,2968.5,2958.58325195312,938.439086914062,1.66643619537354,1.72927915476767e-12,1.19697767322902e-11,0,2972.5,90.5277786254883,62.8874664306641,1558.02844238281,3057.83325195312,2914,143,73.4166641235352,134.58332824707,216.91667175293,133,1659.83337402344,328.333343505859,7.83333349227905,79.828742980957,2983.33325195312,2956.75,2965.16674804688,2957.41674804688,683.763671875,2.05899000167847,2.11052963300373e-12,1.48470975097625e-11,0
"03-DUK","24-KIL",0.388063660754379,3.2671,31.1352,2.7403,32.9502,"north","north",283,2976.52010148658,89.1303006229468,62.8222782552874,1588.29099060706,3063.03415035612,2920.37515010766,142.659010546789,75.083038788381,140.426383945209,228.734687939971,136.149881935794,1421.72438076275,335.941107598295,7.7137809271526,81.1300730351424,2985.58294224823,2961.88692320699,2972.50796174498,2962.10689908624,872.389456058138,1.68968931524998,2.47318966475719e-12,7.83558526988748e-12,0,2975.08325195312,89.6388854980469,62.9252738952637,1579.23828125,3061.66674804688,2918.83325195312,143,75.25,139.33332824707,222.91667175293,134.83332824707,1405.66662597656,328.833343505859,7.83333349227905,79.8404846191406,2984.33325195312,2960.58325195312,2970.91674804688,2960.75,893.280395507812,1.60751914978027,2.15933889692599e-12,7.89578298576732e-12,0,2970.65283203125,90.3611145019531,63.0388450622559,1566.37817382812,3057.83325195312,2913.66674804688,143.16667175293,73.9444427490234,124.416664123535,245.25,137.83332824707,1704.5,332.833343505859,6.5,91.836181640625,2981.22216796875,2954.66674804688,2965.66674804688,2955.91674804688,892.012329101562,3.16643333435059,4.51319233721326e-12,1.73607100917295e-11,0
"22-OMI","24-KIL",0.273302300989269,3.0113,32.7323,2.7403,32.9502,"north","north",61,2972.11976498463,90.5847004124376,63.166461569364,1620.44629106365,3058.48086898053,2914.59290551358,143.88797897589,65.5418948814517,128.411201727195,193.439889876569,120.400273432497,1269.55191590356,276.6010932297,7.00819673694548,77.3881395683914,2982.38661068776,2955.74179127177,2966.36067574923,2956.59151671363,992.500722416112,1.41294925427828,1.79343041953213e-12,1.31856264863867e-11,0,2972,90.5833358764648,63.1850357055664,1617.705078125,3058.33325195312,2914.5,143.83332824707,64.7222213745117,127.416664123535,189.33332824707,118.666664123535,1253.33337402344,272.666656494141,7,77.4697189331055,2982.1943359375,2955.75,2966.25,2956.5,995.145751953125,1.42650473117828,1.37496015007593e-12,1.27624282669769e-11,0,2973.375,90.5277786254883,63.3374862670898,1578.2294921875,3059.16674804688,2912.83325195312,144.16667175293,59.3055572509766,129.75,196.5,113.833335876465,1521,288.333343505859,6.83333349227905,77.7196426391602,2982.88891601562,2954,2965.41674804688,2954.83325195312,955.869567871094,1.57985305786133,2.35708127278508e-13,1.63810857239932e-11,0
"01-AIN","24-KIL",0.363534799987028,3.3044,31.1191,2.7403,32.9502,"north","north",289,2976.39559482456,89.0953962068657,62.8218054985918,1587.75271764841,3062.88811347724,2920.28546712803,142.602652843436,75.7441367179052,142.115916823021,232.325836023245,137.950980216162,1436.75663276857,341.141868987298,7.72145328884719,81.4298218459819,2985.44050149357,2961.75490308715,2972.4331147613,2961.97059414874,873.199905131515,1.64104869219259,2.55158765790017e-12,7.95355728335623e-12,0,2975.0556640625,89.6111145019531,62.9246215820312,1575.54040527344,3061.66674804688,2918.83325195312,143,76.2777786254883,141.33332824707,226,135.91667175293,1436.66662597656,332.833343505859,7.83333349227905,79.8552932739258,2984.22216796875,2960.5,2970.66674804688,2960.75,901.886657714844,1.56542718410492,2.26133196369604e-12,7.9519203721734e-12,0,2980.3193359375,90.3611145019531,63.0388450622559,1619.19604492188,3057.33325195312,2914.33325195312,143.16667175293,92,134.33332824707,220.83332824707,123.25,1804.5,334.5,6.5,92.0778121948242,2981.22216796875,2956,2965.66674804688,2966.25,911.13720703125,2.35516977310181,5.17939163779957e-12,1.71697933648574e-11,0
"14-OKS","24-KIL",0.319573942744876,3.2599,32.2241,2.7403,32.9502,"north","north",152,2973.09279913651,90.3113118221885,63.2887780289901,1579.16310360557,3059.66337665759,2916.36184692383,143.301535556191,77.5455045449106,143.381030383863,214.621162514938,134.336622539319,1431.69847026624,314.234648052015,8.2489035631481,77.4919092780665,2982.77759270919,2957.52686028731,2968.08169234426,2958.11787334241,953.579135694002,2.25079054071715,1.98324036811114e-12,9.90670799517687e-12,0,2972.24304199219,90.4166641235352,63.3007373809814,1569.0048828125,3058.75,2915.66674804688,143.33332824707,74.8055534362793,139.75,207.5,130,1382.25,304.5,8,77.2921867370605,2982,2956.75,2967.25,2957.41674804688,967.610656738281,1.7995274066925,1.55982214991579e-12,1.18525987635731e-11,0,2972.5,90.5277786254883,62.8874664306641,1651.88647460938,3059.16674804688,2914,143,88.4166641235352,130.33332824707,205.25,139.25,1416.33337402344,326.666656494141,7.83333349227905,81.0276184082031,2983.33325195312,2956.75,2965.16674804688,2957.41674804688,763.904174804688,1.79713916778564,6.01442810485575e-12,9.29230910967638e-12,0
"21-KT","24-KIL",0.373270867622509,3.1709,32.8049,2.7403,32.9502,"north","north",71,2971.44247565471,90.7449135578854,63.5032435672384,1591.5497857752,3057.40376389195,2914.03051757812,143.373239866445,62.9714397376692,126.401408128335,189.985914633308,118.58802827647,1228.06103343695,267.75117256272,6.84976530746675,77.3633356228681,2981.54968777509,2955.06572884573,2965.92487345951,2955.98709493288,1000.93333327602,1.26213017315932,9.60092694637818e-13,1.54169867526597e-11,0,2971.48608398438,90.75,63.5628280639648,1590.37524414062,3057.33325195312,2914.16674804688,143.16667175293,63.3888893127441,127,188.25,118.75,1228,266.833343505859,6.83333349227905,77.5009918212891,2981.58325195312,2955.08325195312,2965.83325195312,2956,1003.74182128906,1.29289078712463,5.02710720273747e-13,1.30416658375432e-11,0,2971.54174804688,90.6666641235352,63.1465072631836,1542.01782226562,3057.5,2914.16674804688,143.16667175293,64.4722213745117,134.5,188.08332824707,121.833335876465,1229.33337402344,265.666656494141,6.83333349227905,77.7428359985352,2982.0556640625,2955.25,2967.33325195312,2956.16674804688,916.192749023438,1.49525332450867,1.7814272192801e-12,2.61619129138246e-11,0
"07-OSG","24-KIL",0.341169906887629,3.211,31.7253,2.7403,32.9502,"north","north",205,2973.57679949505,89.8577916215106,63.0523269467238,1584.24589546018,3060.36747094131,2917.14959627477,143.21788590594,74.371273673453,137.180894098049,219.113821262267,131.019511748523,1397.21788538491,319.024390616068,7.7097560789527,79.1241638555759,2982.95136123285,2958.6337414253,2968.9292849657,2959.0122010766,935.73607981612,1.77833714194414,2.61497909279697e-12,7.56949337009879e-12,0,2972.65283203125,90.1388854980469,63.0157356262207,1568.24450683594,3059.33325195312,2916.16674804688,143.33332824707,74.9722213745117,135.25,217.33332824707,130.75,1394.83337402344,314.666656494141,7.83333349227905,79.1665802001953,2982.41674804688,2957.58325195312,2967.75,2958,957.765563964844,1.64982318878174,2.42813646793294e-12,8.18512445321939e-12,0,2971,90.3611145019531,63.0388450622559,1559.64147949219,3057.66674804688,2913.66674804688,143.16667175293,77.7222213745117,134.16667175293,211.25,130.83332824707,1364.16662597656,302,6.5,78.0399551391602,2982.3056640625,2954.66674804688,2965.66674804688,2955.91674804688,837.938598632812,1.52608799934387,4.22987003496217e-13,7.7806051532181e-12,0
