"","Var1","Var2","resid_ibd","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","slope_mean","alt_mean","lakes_mean","riv_3km_mean"
"247","15-NGO","31-ACA",0.0538596540728286,2972.15525136829,89.9862682536497,63.315191236593,1550.2135651152,3058.48963988568,2915.67043774276,142.819209298172,73.3771187087237,137.438794540147,223.681732781189,130.836628886939,1395.05555647511,323.944443783518,7.7278719675743,80.0387582725051,2981.43031371381,2957.36299021231,2967.3964195467,2957.8601736295,1.68828431580026,958.997741354387,0,2.0374599821032e-12
"248","01-AIN","31-ACA",0.00577208974300329,2971.179912476,88.1707907666932,62.688010713753,1574.18175061327,3056.80488497894,2915.27076445179,141.534129640755,76.1690370084483,138.539817966292,241.297212307771,137.507963864063,1461.87030883372,362.261661672755,8.13424347691975,83.5185983286783,2979.68069572579,2958.02502399744,2967.31769111295,2958.02360081591,1.6276769701633,960.470058818726,0,1.83942414075917e-12
"249","20-TUM","31-ACA",0.0104855622772655,2971.21065183886,89.9927251387616,63.1087701499057,1592.87333668819,3057.6632553412,2914.44785687713,143.215419639535,71.4820485017738,131.255668951541,212.498866178552,124.759636911405,1357.9172346673,310.758504231771,7.5941043062275,78.9105258344793,2980.90571189413,2956.11337923841,2965.79876003136,2956.67120901095,1.639948913232,992.236627072704,0,2.13380266711567e-12
"250","21-KT","31-ACA",0.0964563639128207,2970.13228153682,89.946581166941,63.0094777087232,1601.99603570258,3056.58624993171,2913.23892830802,143.347319276183,71.095959643384,130.878204772522,212.121795014068,124.391025356479,1358.21911450366,310.213286926696,7.61188809521548,78.8182827609402,2979.93103454163,2954.95805049443,2964.5606066297,2955.54137756774,1.3958217599592,1014.90921682078,0,1.76474819599438e-12
"251","25-CHU","31-ACA",-0.00864737178808396,2967.87262298249,89.419566311679,62.4381828308105,1650.59788965917,3054.36448049021,2910.61721164578,143.747252747253,70.6990235297234,125.018315158048,210.972527807885,119.17490873232,1353.62454257169,311.045788272397,7.84981685156351,78.9467157217173,2978.03144048334,2952.65751362895,2961.55128294557,2953.32234611092,1.3550972709289,1069.19361424708,0,1.22518828340307e-12
"252","12-OLO","31-ACA",0.0253464655962524,2971.61061789773,89.4386924974846,62.8879612624043,1578.08032288214,3058.30387616398,2915.33249610361,142.971380753951,73.8644780245694,135.114057136304,224.728114426738,129.247895173352,1405.23905806108,334.186867762094,7.71043771445149,80.8083093816584,2980.75224535393,2957.46128151634,2966.85816786024,2957.73021474511,1.54950055961657,967.307581737788,0,1.91964186144813e-12
"253","30-OLE","31-ACA",0.0331107423564999,2967.7638872932,88.8619283788344,62.3125272638658,1631.2254782284,3054.02450022978,2910.80391199449,143.220588684082,73.3733659632066,122.482843511245,223.085784912109,120.541666367475,1388.55391917509,328.22058913287,8.4754902194528,79.7150800368365,2977.57517377068,2953.44608082491,2961.49019847197,2953.97793399586,1.0267119074569,1063.65689266429,0,7.36860086900043e-13
"254","22-OMI","32-APU",-0.0591001951490572,2968.97525152639,89.5646591186523,62.6669434298988,1627.52747094932,3055.42717018448,2911.94117441899,143.485994483243,71.1206816985828,127.077030919179,209.173668869403,120.567226377856,1351.84453678933,308.284313810974,7.83473392694938,78.69012855081,2978.97711848411,2953.79972467503,2962.96428161108,2954.43204889378,1.39419164427188,1042.80276822643,0,1.68147364376465e-12
"255","02-GAN","32-APU",-0.0411984376673254,2971.05853957898,88.1705927283568,62.6360378903096,1577.01001941252,3056.66413819101,2915.03494624454,141.629179424066,75.2216311631594,134.121074154747,236.412360750796,132.679837397891,1437.99037611013,356.174265203505,8.2831813455715,83.1705242261336,2979.64902373433,2957.9620068211,2966.84549015126,2958.02609113792,1.76230813039151,968.428050125261,0,1.76263814125236e-12
"256","03-DUK","32-APU",-0.0347829736044164,2970.89834993589,88.200185735175,62.6412410330265,1576.73209759095,3056.53749599283,2914.87436404706,141.663120721974,75.2158054827194,134.17350571931,235.971884266584,132.736068493689,1437.24518694196,355.316109979044,8.24518744633915,83.062182719222,2979.49924457399,2957.78039439471,2966.68743692415,2957.85005016385,1.65632015543687,971.083838744004,0,1.82015247463339e-12
"257","14-OKS","32-APU",-0.0613249291472866,2968.78499348958,89.5876824735391,62.8944323568633,1595.57646410393,3055.2887123185,2912.18770961569,143.101009561558,74.0897867992671,133.170033310399,221.171717402911,126.998737566399,1403.37037057588,327.049662888652,7.91835017156119,79.5927770980681,2978.32281309186,2954.17930156053,2963.40993060488,2954.62289397885,1.50150037745033,1029.05989182597,0,1.6897810385417e-12
"258","28-AKA","32-APU",-0.0874618815042947,2967.89040120443,88.6944450802273,62.2198651631673,1631.36490885417,3054.04628499349,2910.91202121311,143.134259117974,69.7654321458605,115.337963104248,201.662036895752,110.06018447876,1305.23610772027,305.115741305881,8.40277787049611,79.1338471306695,2977.74922010634,2953.56250678168,2961.46527099609,2954.18977864583,0.969245256649123,1063.35638427734,0,2.0108785859807e-12
"259","12-OLO","32-APU",-0.033044050288681,2970.9311920166,89.2978011131287,62.7899000962575,1584.81726837158,3057.52083231608,2914.57638448079,142.944444783529,73.4224536259969,131.877777767181,221.090277989705,126.11736090978,1391.11527659098,330.06111017863,7.88125003377597,80.5026298522949,2980.16632385254,2956.81006978353,2965.90382588704,2957.13471577962,1.452906165272,983.827742004395,0,1.82309173753531e-12
"260","21-KT","32-APU",0.0456769510415265,2970.15626826903,89.7894936905426,62.8374108554555,1615.34945076663,3056.57483325361,2913.12131629996,143.453514773829,69.8321995897358,127.303854806083,206.108276367188,120.583899880753,1330.83106548283,301.878684945658,7.64285716556367,78.5244357050682,2980.11450195312,2954.83277529762,2964.32766163106,2955.49431335034,1.41636735281977,1019.92015522029,0,1.56965852779815e-12
"261","27-OCA","32-APU",-0.0650469947830225,2967.47277582908,88.8265312350526,62.297007035236,1633.26972058355,3053.64625518176,2910.47618383291,143.17006792341,70.5702945942781,118.384353637695,206.862244586555,113.333332762426,1329.29251534598,310.772109673948,8.31972789764404,79.2544625729931,2977.35544383769,2953.04423429528,2961.09012775032,2953.65984235491,1.10502941511115,1070.60623604911,0,1.59094217151341e-12
"262","08-MY","32-APU",-0.0663590444288278,2973.43818152611,89.1088944972532,62.7533689989717,1578.66606930413,3060.09880538095,2917.34038531275,142.758415048208,75.059084416989,139.085504786588,233.950868935849,134.155265758403,1435.70032454003,345.980998185248,7.71226929997,81.9814195912513,2982.47683924572,2959.26818966943,2968.96227351384,2959.52822647343,1.6624547267539,928.742190482174,0,1.72985502506824e-12
"263","30-OLE","32-APU",-0.0670454195812593,2968.09207956414,88.713450983951,62.2251376101845,1633.32194759971,3054.26314504523,2911.11402009663,143.149122940867,68.8355263157895,113.967105263158,198.600877059133,108.642543190404,1288.09649336965,300.649124145508,8.29385967003672,79.0507009405839,2977.9700156764,2953.72808516653,2961.65129651521,2954.35522460938,0.917404139708532,1060.19037828947,0,2.293493882452e-12
"264","15-NGO","32-APU",-0.00916822691448508,2969.99983042449,89.9992472456007,63.3133148418859,1557.90617302956,3055.98933718827,2913.21100124115,142.778325649318,73.1107005039459,136.351806603042,219.332922498581,129.470853382731,1385.82101906462,315.504105591422,7.88095240287593,79.1502154120084,2979.49877087823,2954.9076414813,2964.90763306265,2955.55089069235,1.59006506145881,1005.60771773014,0,1.8132156917693e-12
"265","17-LAG","32-APU",-0.000258932953192768,2970.75078520904,90.0065315040382,63.2235646222089,1581.71957545925,3056.84144584037,2913.8909905511,142.950450917837,71.987087002316,133.497297833417,214.327026037268,126.62342302477,1366.4342364337,308.967567897487,7.81981983442564,78.6654451112489,2980.48723738387,2955.46126741976,2965.30090002112,2956.145028769,1.53009034427437,1002.0163010056,0,2.2264279984059e-12
"266","25-CHU","32-APU",-0.134928211363773,2968.44904399671,89.2697369224147,62.2451518410131,1662.8162032278,3054.92980057566,2911.01404965049,143.91579011616,66.0538012052837,115.786842105263,190.014913137336,108.422807392321,1255.58596576891,285.264913458573,7.67192985133121,78.4515881990132,2978.75906147204,2953.08948139391,2961.86754214638,2953.83683953536,1.1966578245163,1063.32567395662,0,1.4596855488305e-12
"267","24-KIL","32-APU",-0.0917700004163534,2969.02242204784,89.4637415387989,62.3469465137583,1660.517666707,3055.55750051853,2911.56195770534,143.995574951172,66.0282693035835,118.325221171421,193.494837262989,111.405604472203,1266.26401432004,286.637167601459,7.53244839305371,78.5017338305448,2979.34217496889,2953.49853731679,2962.53465500553,2954.26474782218,1.21492036306753,1053.34498258608,0,1.91627355984236e-12
"268","31-ACA","32-APU",0.0195792050352302,2967.72675554142,88.4903110238009,62.2669967828795,1609.19421954488,3053.77131972202,2911.02322742551,142.748062133789,71.8578810580941,115.503876264705,207.261627906977,111.187984555267,1332.5387559048,315.348837209302,8.91472871913466,79.3900781675827,2977.28036428052,2953.99226130996,2961.43605218932,2954.56200604106,1.00837481489708,1060.13754769259,0,1.33273344629764e-12
"269","07-OSG","32-APU",-0.0246921749824463,2966.86711454961,88.9875497400048,62.842586426146,1575.97855842256,3053.01195899994,2910.64076798276,142.371182263135,75.5357457803065,131.481075818795,230.425299047949,128.71015921057,1427.11022268348,341.527889297303,8.1613546196683,80.8881335619436,2975.85956078032,2953.28253295412,2962.0106215762,2953.52125482445,1.55544521324188,1051.68022587385,0,1.65173264300068e-12
