"site","rsq_train","rsq_test","rmse","mae","cor_train","cor_test","IncMSE_BIO1_mean","IncMSE_BIO2_mean","IncMSE_BIO3_mean","IncMSE_BIO4_mean","IncMSE_BIO5_mean","IncMSE_BIO6_mean","IncMSE_BIO7_mean","IncMSE_BIO8S_mean","IncMSE_BIO9S_mean","IncMSE_BIO10S_mean","IncMSE_BIO11S_mean","IncMSE_BIO12_mean","IncMSE_BIO13_mean","IncMSE_BIO14_mean","IncMSE_BIO15_mean","IncMSE_BIO16S_mean","IncMSE_BIO17S_mean","IncMSE_BIO18S_mean","IncMSE_BIO19S_mean","IncMSE_slope_mean","IncMSE_alt_mean","IncMSE_lakes_mean","IncMSE_riv_3km_mean","NodePurity_BIO1_mean","NodePurity_BIO2_mean","NodePurity_BIO3_mean","NodePurity_BIO4_mean","NodePurity_BIO5_mean","NodePurity_BIO6_mean","NodePurity_BIO7_mean","NodePurity_BIO8S_mean","NodePurity_BIO9S_mean","NodePurity_BIO10S_mean","NodePurity_BIO11S_mean","NodePurity_BIO12_mean","NodePurity_BIO13_mean","NodePurity_BIO14_mean","NodePurity_BIO15_mean","NodePurity_BIO16S_mean","NodePurity_BIO17S_mean","NodePurity_BIO18S_mean","NodePurity_BIO19S_mean","NodePurity_slope_mean","NodePurity_alt_mean","NodePurity_lakes_mean","NodePurity_riv_3km_mean"
"17-LAG",0.930585113786968,-1.96908489568025,0.0460405136351564,0.041016773692543,0.974444181981118,0.497094734254371,16.1235682283498,20.2807093400678,29.8326244744919,17.3151985612151,15.186626808758,17.0797692049217,17.8448923750841,13.0895763550642,19.4351884995738,23.1108700854836,18.2100528150447,18.0044351636499,30.940182664943,21.1758054572185,20.0608373638587,15.9506332594667,14.4665698240649,11.3563816021327,12.8426962431704,20.9069893722633,15.3962800046826,16.1183193719532,27.8000595299176,0.115704527119583,0.181338923303504,0.424910641832912,0.123581496421429,0.130006282124553,0.169587105797006,0.135374635179982,0.117697680208527,0.16505431978181,0.112933611119607,0.122504350510949,0.121245268202601,0.210344065659327,0.189101152823847,0.141851216957332,0.141803868245178,0.0746907860270186,0.0801658467896462,0.0676573692733521,0.131375505893303,0.1069068242193,0.108427408056061,0.143077417351684
"18-BOL",0.930262212970072,-0.313206107494336,0.0404033297479649,0.0356193249327347,0.974497502977424,0.56755146753795,14.7585319622014,21.125169334785,30.7316599414881,16.8858652347177,15.5322631369835,16.0501225108882,18.1707975621242,12.6978629934645,20.7882457010523,23.2512476737443,21.7253367023512,20.0526404036194,29.7151305334833,18.60924725594,19.8263540301748,15.9739543346304,14.9718845441468,13.8413522219399,14.2362408618848,21.674395105956,15.0735268410839,17.4542170373527,26.2833689777588,0.114287847257616,0.210642545017843,0.418659047431542,0.136406509741988,0.127400589370516,0.146539533715725,0.135739768741277,0.12073353275453,0.153391004022335,0.115395960846803,0.1241547863328,0.123325195741989,0.204112957450967,0.164071250618559,0.151645695919012,0.148340022331149,0.0722555601970833,0.0681278218196693,0.0664746168985967,0.135604307443271,0.104924754175517,0.116785039338343,0.134563789244346
"19-KTC",0.929356905485875,0.56687539965157,0.0221018700172569,0.0175166560373905,0.974262849917911,0.760912252086647,12.8471220115911,19.5716587500745,30.5109478240758,19.7159261279993,16.9123640697516,16.3892645714906,19.9091852870932,13.9187532340639,19.5449834352491,21.8939542626473,20.0789997722292,18.3442949397032,27.3284797615945,20.3285812737305,18.5806180355676,14.1661441142145,13.5479957855772,11.0874285687892,17.8713822885997,20.5501168422706,18.1065647609692,12.4960771436779,29.3332341378405,0.111016888342444,0.207118267567987,0.431667603554005,0.132804165214621,0.13460304200816,0.158988802996815,0.158136791308175,0.117018136774687,0.146455420578766,0.113574325570744,0.122219820913569,0.127100374278633,0.198404931574958,0.187077958395397,0.142609130175066,0.146784732145755,0.075604034492893,0.0720601879924266,0.0694363436872966,0.135439411927026,0.10038267699006,0.109413370773446,0.141678284281094
"20-TUM",0.930872134658551,-0.423011360464551,0.0430471615255683,0.0346304459966738,0.974841352469143,0.413498000530762,15.0502549167845,20.3924299751836,29.1074191457043,17.8684770468631,15.4302750695684,16.4945604122121,17.2786912385055,13.1983600869692,20.0120484583022,24.3033323937754,19.7375719199093,18.6103279748111,31.0645004628865,20.5166483787524,20.2034373247215,16.5253854825153,15.9133945322824,9.97019744977669,13.1602148692637,19.9937893544389,15.8375234773336,17.4833677696404,28.6155279805312,0.112072241783831,0.200467425879308,0.430649236952922,0.137830936975164,0.131170519852948,0.161410773028455,0.130271554707454,0.123190091266741,0.158598770016763,0.124484340556299,0.118732917099634,0.119726999750415,0.213359094857012,0.184272012703208,0.134910388395523,0.142289449162159,0.0718676105586689,0.0721008917103312,0.0674606640365257,0.130116673844246,0.0976816115576774,0.10996835436885,0.138501602674014
"21-KT",0.933302484798156,-3.50145241371144,0.0725266414301372,0.0660961775795259,0.97510439474996,0.284115222763083,11.7784309944899,18.0593744547057,30.2418886202905,15.0283575525216,15.4379802403205,17.1539029600464,19.3947231415777,15.5078471254602,19.789214671033,22.1106305730417,19.7200126503787,18.3110547831818,30.2083302097064,22.56973601276,21.1371800345595,17.9901170499594,17.1687453173638,10.5309866426882,17.6805805947108,20.2025620943469,15.7550839882813,13.2791006854008,23.872355676041,0.108703354787558,0.192145709859634,0.432678687064017,0.124929122900003,0.135339808395505,0.177364980489173,0.140565403613985,0.12677487602359,0.149986058639148,0.108307776887633,0.122531256025136,0.12772207300401,0.189763580964427,0.195809136957564,0.145796775952261,0.137689424486119,0.0742736744554093,0.075582975019251,0.0644968977316447,0.129965954667736,0.0956141212679736,0.102333606127934,0.131109431925039
"22-OMI",0.928858272597596,0.0518765595844906,0.0323236816176554,0.0275150362696742,0.974039437257746,0.309614719757394,12.7044281990315,19.6225711864649,27.4843171700582,17.8416484486479,15.3182377589029,16.6526062401545,17.1335644442264,14.4077049877075,19.0330091020785,22.4775056823468,20.3277031510146,17.7007581326344,28.5867698373353,19.462928696343,20.1338890980679,17.4589565086873,14.8498702019041,11.8948232464579,17.0416699111125,22.115330486809,14.9528236910894,15.4191827408473,28.140519221413,0.112840166337331,0.188660337531288,0.412056111386168,0.140597739939198,0.130610054220431,0.154990075166999,0.142172134879392,0.13428245046487,0.164940736074131,0.110031076024652,0.123347877454683,0.12235785329425,0.200001305002329,0.174434841584467,0.14521433518917,0.152598241690738,0.0738313282839733,0.0713627212359427,0.0684045979071204,0.142281698120867,0.104186389622167,0.108003486609437,0.140095088009333
"24-KIL",0.928728786855979,0.548450863396975,0.0265729071719001,0.0221440854218812,0.974206569473758,0.799047251293506,16.2328527180967,21.3521721819479,31.1335295102601,17.8561164278793,16.9976801633574,16.5863179013703,17.2759588832954,12.1188300656562,20.1720424980749,23.4004873050437,20.2164210712119,17.7603793615466,27.0035195964368,19.7063034332998,18.9155732925876,16.7880043811783,16.1952201394208,11.4043701624622,16.3359883737537,21.6005027086331,15.4757456692875,15.1509921610841,27.7630443814655,0.111974323241833,0.210644814875953,0.426989698505865,0.132728058303487,0.129631149243665,0.148872567053682,0.13451219439621,0.112010551810768,0.144726442279637,0.116250527514708,0.123101586165796,0.122377974021151,0.205490755347903,0.177013760814952,0.138154388148723,0.150322993543909,0.0764587464793136,0.0802067714747185,0.0699034794864963,0.137820969460037,0.106478477410393,0.0994922858649135,0.13427453292298
"25-CHU",0.92796491233795,0.210967878656206,0.0354114230498164,0.0284654486978366,0.973732600717261,0.681624258129009,12.9296039768294,19.3084111041129,28.0537973585534,15.2133142802682,17.8660263704436,16.68899981538,17.4934194532899,14.3339851275147,19.2194820703127,21.9631910058239,18.5486975278505,19.2630261928046,28.1975451586403,16.70542436237,19.5937510416211,16.1411065845043,16.3690615761932,12.4175914679915,14.9912952804723,19.3327036528573,17.5147296843909,15.2434457171885,25.0938479767846,0.112217319802583,0.190459262014791,0.401702248917298,0.113792445613893,0.133677308162449,0.152171708350366,0.15279465219033,0.115576406885849,0.168327677052979,0.113983441450824,0.125239582709128,0.128116002327126,0.193949001552558,0.177632781850855,0.135500883015591,0.140883292378362,0.0765497251561844,0.0718661017187778,0.0720305986948332,0.131334216209835,0.106757599045267,0.107941219857188,0.143569361681438
"26-OG",0.928027176478509,0.169618246044122,0.0359833129588395,0.0304471946464743,0.973872746790534,0.759735429023846,13.9993672788208,21.4039707577148,28.7235146689733,19.451790501933,16.6042159319111,17.0292126681715,17.1629350798076,13.0168839027198,19.4748711247098,22.2535806196479,19.6594908988175,18.3198148669418,26.4435312068999,19.7632470980793,18.4797873864463,16.7181668563633,15.8687333677307,10.8305817366032,16.0077454788897,21.1194737216012,16.7257807915125,16.2420627151358,30.6001874178388,0.111999752950626,0.187118566746773,0.406563899402243,0.117834895361811,0.131275895584314,0.166154912914103,0.135852900505473,0.107150629879518,0.152201252578866,0.119437722333695,0.125233110399227,0.122193590413885,0.196421433385092,0.163909052537793,0.145804060844407,0.157045658757252,0.0799914846511694,0.0754549322214773,0.0658908824960935,0.129076599978651,0.106163293408763,0.107375422623466,0.141633760183242
"27-OCA",0.928689255607525,0.410382229771208,0.0297201757558862,0.0231553798867744,0.974203993850583,0.673370505285751,13.4479273080229,19.0724014866916,31.4020926058448,17.835407142493,18.072782206692,15.6722810712515,17.8517528760798,12.6238390497808,19.6767308860125,22.1716822224684,18.2085850859379,17.0387673684982,28.971055419422,18.502681640415,20.4366431153689,16.6174480871454,16.4356426146124,13.3476256611132,16.4165137004898,22.0013696157768,17.1028283651963,15.6041738774021,28.5002232653274,0.112021512491666,0.196797415061388,0.417559019088455,0.130693285975428,0.131755933104458,0.154059999579846,0.145026749586156,0.124763382197603,0.146245767815292,0.110160731740587,0.121393050031918,0.116025933666441,0.195067375366807,0.176705441675341,0.149177063078235,0.150581045656964,0.0751555087436885,0.0718624314651226,0.0702366811827213,0.143474469889762,0.107008795704205,0.107000636706084,0.139867148050042
"28-AKA",0.928503062328773,0.568453111215732,0.0254365791214278,0.0193415348123705,0.973957387307906,0.77191135455457,14.2903376614438,20.3452380989408,29.2031870801762,18.0580924803244,15.1334321461218,15.9586344649618,18.3907312681052,14.1615195635292,19.782890418369,21.2931525652466,17.149647024997,17.4533226927792,29.1704669497033,19.7371874477107,19.2292523364963,15.1815085560485,17.9544651551144,14.0606099337774,13.3118610378293,22.5287136563695,16.8054759706551,15.5268778397476,28.4657069903492,0.106560316513743,0.189230921691256,0.416279425460157,0.13434836394846,0.1312370230235,0.154553579745249,0.145629486611,0.122115709476735,0.158282001151976,0.113460077333514,0.123349644246978,0.124397520951907,0.207478750901039,0.17225180596228,0.139464197395297,0.14757759029886,0.0756400570580711,0.0740228173548219,0.066986318729698,0.139677306977332,0.108736129831295,0.112758814700985,0.139781667083882
"30-OLE",0.929173023490577,0.411430808612156,0.0257876165175769,0.0213375604834269,0.974492046359165,0.808479422498406,12.1688382828951,20.0278965328364,31.6051472036847,18.2841982643913,17.7025813012428,16.6678339256195,18.3492015432931,13.7262350172352,18.2835501667361,23.6487419462097,17.9568367908268,18.4669136172194,28.6153421780326,20.1692469774031,19.0444521313006,17.2742481074067,15.3850815231384,9.65065636452365,16.1033521531715,20.5600828749848,16.6662002586352,17.0514314120025,28.075663737602,0.108549808403857,0.193283121594284,0.402261897338036,0.127446669382624,0.132284746839467,0.168767763299806,0.147516126237189,0.115622385065135,0.159251496079579,0.11412239465775,0.116222647134798,0.121054743035916,0.199187806104928,0.175353288551565,0.143672766924253,0.13947481365818,0.0764717642964163,0.0714728010944924,0.0660912542147263,0.145493766163776,0.107969517764899,0.114673228137776,0.146389335918245
"31-ACA",0.93338129437147,-2.31114561114762,0.0598420789681392,0.0537422757626332,0.97543014849493,0.527907337595915,11.7267095155969,20.0625733901055,29.3793738862684,17.1803563989898,16.4854038382503,15.8971155158383,17.9554004003942,12.469607944882,21.4284422690077,23.9802906858561,22.3974853607825,16.741357975852,28.060365101403,19.0420211786429,20.8928471465629,16.8246116070558,15.0641135404865,13.6610521168791,15.1646104835048,20.8220223991798,16.9191788958952,15.6542264768149,32.1693014769928,0.109673583271353,0.208031302739913,0.424842519983637,0.127824743942846,0.13535182816568,0.147598189820978,0.135384996639832,0.128472523627617,0.151996628405594,0.119929156099292,0.128631236807204,0.123122949064432,0.19549762356325,0.177794236511855,0.142597282629208,0.159465504587803,0.0750723813634926,0.0719982255139343,0.0711998159046716,0.119904744286626,0.098923874528288,0.108028594418725,0.144378098213129
"32-APU",0.931381916009453,-0.391168589028006,0.0479305573379203,0.0398010200928876,0.974959938823813,0.581623111436811,13.5095545428924,21.0370681856471,31.3101879667568,16.6215937337681,15.5777168833615,17.4873044780944,19.6733500001407,14.0083025334303,17.7300651788839,21.5382746797717,18.516961249198,18.4147298209528,27.4980781584607,21.2023706086829,19.1957364311651,17.6018500294839,17.6156485376624,11.7907026756897,16.326723844459,22.8633621009011,14.7362231420749,14.2882449216614,30.0877988578092,0.112307996050718,0.200532694510482,0.401331870449368,0.124286477302723,0.121145539649037,0.166406710739626,0.13457360690288,0.11705526174601,0.159613388985446,0.111571227164035,0.118207604559817,0.125210246261016,0.195603815319799,0.183539761413682,0.141761716057576,0.134092365087369,0.0765359150663873,0.0732684956835544,0.0678352688580356,0.145907671241975,0.105895303906727,0.111591885213469,0.137882210183891
"33-AP",0.930281304827652,0.0239878393413819,0.0367306005899082,0.0295450909637071,0.974501162960845,0.775913259480172,12.2211659757595,20.3958910085611,31.3480215003739,15.3495681660849,15.3378209466938,16.7361258841605,18.5304360288688,12.5156651317646,20.3032866859268,21.9425818339233,17.9877399194554,17.2075697924069,29.3493359376374,18.9514065561388,19.0805104635496,15.3413927896876,15.7422758361338,12.3730716688975,12.2909817491559,22.6116659366233,15.9076003142929,17.1352105787337,30.2846832618958,0.119515472183609,0.205041035334696,0.420097815046443,0.138078260302036,0.132341753860448,0.155258237722546,0.141889361657415,0.130456166784316,0.149997753534434,0.112276894886347,0.12028290807031,0.111865733739381,0.201527848295479,0.174999445472837,0.149784285308688,0.15036773299019,0.0760556844085281,0.0760143503451697,0.0692916235348915,0.132397607716436,0.104065758852213,0.106316634624297,0.142172548641623
"36-UGT",0.927632763903712,0.583134899728845,0.0274995470379109,0.0197231620377316,0.973785392700965,0.809362790529417,15.4811810357879,17.7671807133742,28.3187627864935,20.0523015557338,15.7843625103482,17.8122780139047,19.1840566027448,13.9816526755167,20.3898097832745,21.9165899163481,18.278918928801,17.193203626402,26.2270367261068,19.8755047110432,19.0014228006206,16.3360550581533,14.1153744848097,11.1649604511846,13.9050194266258,21.0657124639842,15.465330529031,16.2215524244571,28.843149683481,0.116212796905937,0.180323575375356,0.397097613646139,0.130238673864429,0.140179475081715,0.178123132795902,0.138297822303828,0.119049462907446,0.166674739891856,0.117615195403923,0.133430497526227,0.121576170217497,0.191440811126887,0.183697519453366,0.1433932181085,0.14426122553425,0.0750751639323245,0.0748779535513061,0.0694659208266819,0.124844385332136,0.105436096714494,0.103642964273191,0.144062776012591
"37-OT",0.929878044660281,0.217505727405251,0.0326779274919693,0.0237571364558278,0.974411509092704,0.562029495224537,12.6816910905078,19.1394571504333,32.1151878491362,23.2212812795371,15.434061877614,17.4421064737245,18.454778531399,12.2140518645666,19.1729907737661,24.1136651371762,18.6632200132309,17.9305832757699,27.3690645288004,18.3215966612403,18.5193788233967,15.7323443011008,15.4092604829617,11.1717828685369,13.9936315342102,20.2175789432695,16.9697680953765,15.047285581966,32.1014684277163,0.114403361732586,0.195385571505714,0.432100576745395,0.142944146229616,0.129328456013345,0.172365297726753,0.144921872614155,0.115566846076091,0.158904155931949,0.114130957592466,0.12258417887353,0.124613886767737,0.198550873223951,0.162811168181414,0.1501568563466,0.145375511034242,0.074447182908649,0.0809377618075407,0.0696727566118411,0.124314985044884,0.104206053015063,0.109480441988551,0.146791364485406
"38-OCU",0.928124326171107,0.565803962189269,0.0329397044610867,0.0236206763634526,0.973797775276083,0.834310701690001,12.8026141297243,19.9725062599265,28.7454780262056,19.191497348407,15.2409461108262,15.2640939329182,16.190286385471,13.9963286569901,19.5368954926021,22.6067213944404,19.7469151524071,17.2960443660276,29.4913888043453,20.0362009134993,20.3317613974103,16.7091500928555,16.8804130143681,10.2067498294448,14.6812286583353,22.1564915099426,14.5562747899709,13.6369221383001,31.1393262885466,0.117227255885314,0.195898110735306,0.396150018550179,0.137110910667501,0.127078684768813,0.143775788838,0.14100419339862,0.112111491254978,0.161816003063181,0.114334882809215,0.127363823652703,0.118125267875298,0.201830414514938,0.178153281249926,0.149063548317671,0.14961370943569,0.0752964631837775,0.0751838365047941,0.0695538850661004,0.128669748385833,0.113829506213669,0.100025264977722,0.141755809777353
"40-KAG",0.929168112231522,0.407339982026318,0.033543302755502,0.0253970058389114,0.974037649733226,0.695763156709549,14.5238035528291,19.5274155874101,29.0453901026491,20.5968675276617,14.7750987377065,14.9638396746818,16.8676437528022,14.8689869524764,17.8344330955329,22.6336249853282,19.6590660761761,17.9177792853386,27.7304385468705,20.7220109211526,20.0194336275726,15.6216831303729,14.0753509751211,11.323870179695,16.7144445508905,21.9356954093946,15.6926418506152,14.9070607249212,27.5535631695834,0.120428470915895,0.195699091882226,0.408480037019427,0.14030212130534,0.13619297559806,0.153640266265504,0.137663283749458,0.115986300503818,0.163787056521487,0.115810500491304,0.121864417315592,0.124627641612575,0.196849706485911,0.173660917329583,0.140153121140239,0.147569450903103,0.0746730975082128,0.0726906405663387,0.0676350032440107,0.131358208252835,0.110008193537212,0.101264985007494,0.142760434146589
