"site","rsq_train","rsq_test","rmse","mae","cor_train","cor_test","IncMSE_BIO1_mean","IncMSE_BIO2_mean","IncMSE_BIO3_mean","IncMSE_BIO4_mean","IncMSE_BIO5_mean","IncMSE_BIO6_mean","IncMSE_BIO7_mean","IncMSE_BIO8S_mean","IncMSE_BIO9S_mean","IncMSE_BIO10S_mean","IncMSE_BIO11S_mean","IncMSE_BIO12_mean","IncMSE_BIO13_mean","IncMSE_BIO14_mean","IncMSE_BIO15_mean","IncMSE_BIO16S_mean","IncMSE_BIO17S_mean","IncMSE_BIO18S_mean","IncMSE_BIO19S_mean","IncMSE_slope_mean","IncMSE_alt_mean","IncMSE_lakes_mean","IncMSE_riv_3km_mean","IncMSE_samp_20km_mean","IncMSE_pix_dist","NodePurity_BIO1_mean","NodePurity_BIO2_mean","NodePurity_BIO3_mean","NodePurity_BIO4_mean","NodePurity_BIO5_mean","NodePurity_BIO6_mean","NodePurity_BIO7_mean","NodePurity_BIO8S_mean","NodePurity_BIO9S_mean","NodePurity_BIO10S_mean","NodePurity_BIO11S_mean","NodePurity_BIO12_mean","NodePurity_BIO13_mean","NodePurity_BIO14_mean","NodePurity_BIO15_mean","NodePurity_BIO16S_mean","NodePurity_BIO17S_mean","NodePurity_BIO18S_mean","NodePurity_BIO19S_mean","NodePurity_slope_mean","NodePurity_alt_mean","NodePurity_lakes_mean","NodePurity_riv_3km_mean","NodePurity_samp_20km_mean","NodePurity_pix_dist"
"17-LAG",0.975362601091552,0.391407412049618,0.0468170595992877,0.0419802277742693,0.989161325953413,0.937474578510058,16.1399237437937,15.9921872965036,17.6250348357305,20.4002846492897,14.8844884879541,15.305248815015,14.13475743757,17.8943334199887,17.0859937993006,15.7194291958131,18.472377144013,13.9371683703118,18.0108849592392,16.01225992766,14.4042048954614,15.0279292883922,11.7630254994811,12.7325674535068,10.3558925965231,16.0330062845981,16.8184303666999,10.2315026141339,13.4367262117629,26.4645828231694,62.3924500878786,0.107571193823771,0.14652058822102,0.540630921767676,0.159731195419553,0.114817023493998,0.255681419130046,0.150049101506853,0.13596663844671,0.168501244538953,0.106493856128529,0.190155732196175,0.118993291895342,0.165341713849625,0.327152749042401,0.265077317038138,0.111273346826094,0.123282803658055,0.0979466426325891,0.118699781754399,0.0941063256913161,0.127626494205656,0.176678071108759,0.161678973224606,1.38437936813285,3.31224305526491
"18-BOL",0.974956225780786,0.570991409803553,0.0404671346985637,0.0352047081592246,0.98902998969961,0.896104663897292,15.3385696573252,15.9945141431846,16.7467190009178,17.3771713300474,15.1109704780604,15.6224380097824,17.681854857729,16.3523395292859,18.2422903029677,16.7465000514966,19.0445881196171,15.1810733043543,17.5872062324701,15.3677933069122,15.6089936392824,15.7820215103935,12.5267543099142,11.7131878520974,10.9494567063536,13.5299406550475,14.8283493966465,11.2961278058686,15.0202579291682,25.4374562067239,63.3561093824177,0.117998875969748,0.159317001174969,0.501350598314354,0.16373614645037,0.114834617638201,0.269259529844976,0.153770225877049,0.129830610509049,0.170577059634119,0.103588165526743,0.196962220170935,0.115430598921196,0.165288491579565,0.298566757403251,0.296896604885221,0.100089855395186,0.127133867716256,0.112246762019999,0.121896633189617,0.0997958198066956,0.120126082402164,0.183966130192341,0.162766184153806,1.2661423193989,3.24374460479574
"19-KTC",0.974486387671677,0.905301881946638,0.0217071263614961,0.016017815858314,0.988868122923786,0.961794573845382,12.2146069294208,16.6562370976122,18.0219440642162,16.0968095312732,12.573826133699,15.1728528419457,18.9788667423403,15.6893282321782,17.7012838436203,14.7173341103879,19.4800053716996,16.8250289481028,15.7577466910031,16.4581133591803,15.1209547408483,16.5842418857671,11.7161519955132,9.81444132705909,11.0646946317734,14.3142778268022,14.5323713087169,11.5549906562185,16.271253307322,26.4835687895535,61.9507739459897,0.104447327790738,0.161766394492616,0.49548587949253,0.170380735627276,0.126311506452588,0.274080568547256,0.14092812658881,0.132609975166605,0.157515148073681,0.108162723341628,0.204927854484509,0.113542440244836,0.161093194969242,0.322433123096265,0.316017586746057,0.110394147554259,0.132991320503426,0.103592448567468,0.113044215431138,0.102623109398791,0.115907060272958,0.169482622689503,0.15655097368165,1.35527184839586,3.18303792181616
"20-TUM",0.974785295680436,0.642661077132298,0.0383797201717151,0.0296471403030743,0.988911197200679,0.887345811749356,13.8014455716911,11.2501327394661,17.9756156691648,19.6833925055695,14.0649864510359,16.1664354672004,11.4904965513251,16.6587017929744,16.9071519318396,15.8313535762466,20.5994845030625,16.8512719728585,19.4848352870615,15.2921572237344,15.0215206405151,9.54097411107808,10.5188725262369,11.5742050005558,11.5136214234488,15.9243922421681,16.1142171493669,11.8403727848256,15.1840664207281,24.7808778377588,67.3316914623665,0.108981403089398,0.13914146061523,0.512012967926048,0.168575507750872,0.130940582475952,0.289526764126622,0.151218000224549,0.134018125040324,0.16745790949162,0.10693157536162,0.182756447484756,0.112835558776701,0.153573823486202,0.293645039799909,0.26185042654336,0.103640673015258,0.132415945251024,0.0935044310266909,0.110964759657224,0.0977312042443906,0.120275313579485,0.17576187222419,0.154109037233631,1.24329745225372,3.3586533357236
"21-KT",0.976920442787251,-0.315847859556535,0.0679460805395592,0.0615323095689044,0.989798807192356,0.874786192047768,9.95089094172792,14.2914094262568,17.8590772657288,17.9225895011982,12.3082197184067,15.3324847403388,14.9539053599222,16.4118758685955,16.6749901728569,18.5602350000046,16.7585969201523,14.7562774039109,19.5448175938122,16.1398145943083,16.2871246026122,13.9528847248425,10.4530624123591,10.9332586535032,11.4384730333235,14.3069330145785,14.4650717150355,11.9514471189832,14.9667006417659,26.4323892612038,66.9515580025332,0.11207264645283,0.158351465815674,0.478800258119291,0.147771334495835,0.131854810666776,0.248759237165641,0.165743130020361,0.150734702116373,0.168716253338274,0.110307721456085,0.200808571667921,0.115087535031699,0.168253095687206,0.344151875598717,0.3081191260968,0.107953617454143,0.116951017917041,0.0872730239253963,0.0993512725785144,0.10167779478876,0.108284036901347,0.199373841485567,0.14677572176046,1.44225197561346,3.22072754825405
"22-OMI",0.975264907800649,0.758690611172419,0.0326591201963806,0.0278040270446458,0.989108793767816,0.913575029471746,10.2907166091759,10.8297518293853,16.6523535578972,15.4244735010695,15.1904902259398,15.8428857372728,17.679161674911,16.4110660347395,15.6759892642584,15.4112472064218,20.2995037937984,14.9642203290624,16.9418562658904,15.8030878374624,14.2588203412708,16.3920483841895,9.51317399887422,12.0283092918713,9.69464321322204,17.4898514429464,14.9382970961733,11.1723754671479,13.3627561482353,25.212942450511,62.3840219239012,0.110758486480643,0.139817581302941,0.510118506615995,0.180442691119004,0.125809345015084,0.286494082554304,0.159004127373705,0.149110911253941,0.169733524345954,0.101447094543168,0.18708506979248,0.105398241395456,0.174107782496459,0.280182523611989,0.249139717209179,0.10564777631678,0.13043071291896,0.104290222618322,0.12172338122224,0.101157196228526,0.126372732228817,0.195959077046663,0.1670939767916,1.31798786400499,3.27840073921127
"24-KIL",0.974977507799473,0.853633466431207,0.0253825004976477,0.021089664692591,0.989026300092853,0.932944214693303,12.8449826153326,15.2626480134722,18.081480582715,12.8319077190416,16.746851417566,17.4095404354491,15.6411263878675,15.3595713514436,16.9025560950063,16.2349410681225,18.2907598391896,15.9521599648603,16.1338415404359,14.655223893171,14.416082456571,14.3541559056498,11.7129932569179,11.8544662533494,9.46727054772003,16.810668679494,14.9025146854272,11.4319226827439,15.4891626140942,25.5983175221417,60.4476995344432,0.107717501481332,0.157277225333897,0.515033576107341,0.148219627654311,0.127744571020839,0.279028444915173,0.143237201793485,0.113818511776522,0.178721736846374,0.107177702208606,0.179857033717174,0.118709683399492,0.151822597560792,0.30856760135081,0.274586050470347,0.115151035328074,0.131578548276042,0.103597474959128,0.11072926491064,0.0974720886853804,0.122839597197704,0.155901900246847,0.170131378785519,1.37700705621417,3.19895313871503
"25-CHU",0.974405326966238,0.763391228503177,0.0323645423284539,0.0268528291788313,0.988787052358487,0.910276495607119,14.3489038030739,14.4504995359361,18.5736020577536,18.9334840603658,14.2419592263173,16.0081236234958,15.8233980106903,16.801313676428,16.6639721026106,16.3164544088571,18.7532899773923,14.9506457644345,16.0899483195685,14.2022807898789,15.154639042841,15.3553549674981,11.0946558382949,10.88190827984,11.124928606617,16.1011931027694,17.9466901117844,11.2865498141978,15.3932449632917,26.0163270783437,68.4853506124389,0.108559323057841,0.166401103732299,0.460703140068203,0.141435921369271,0.119732934588913,0.308849536703921,0.154213978033055,0.11987151017509,0.176440921983804,0.0978389263926747,0.192790976976608,0.109167340029857,0.161133987722502,0.267286926816376,0.259176751455502,0.107104134051906,0.125257762800672,0.100911499644985,0.120544480968879,0.0919595452912052,0.123813427223037,0.170542359511239,0.191684684954607,1.3046414775571,3.24481693808626
"26-OG",0.974188988524857,0.69010179520906,0.0356853444306916,0.03000012820949,0.988700461181383,0.887745003853827,13.7174679593309,16.2119049840673,16.3122478737747,17.9149224740109,14.7384410088625,16.5706837242977,14.8033878882905,15.3139326503295,15.3442657206787,15.6585934752835,20.2550153117917,15.3437077138015,20.0436740999249,15.7533954967663,15.417978784157,14.9653981923222,10.8487895932332,9.9070298621643,11.3016618098264,15.3223596736258,15.2838243791316,11.7982507064812,15.2710562846986,25.9196329536659,65.3984442795056,0.113626548950051,0.142178866731068,0.465396641538504,0.149389138856925,0.120338918606319,0.306598488407611,0.160386782308964,0.122197642056219,0.148123178876248,0.0990481280670279,0.193588335199802,0.108577482521584,0.165009043264241,0.232972420409456,0.268849176232278,0.111187237120477,0.140501769876464,0.0914168960143999,0.123034737123106,0.0988181403112414,0.114613010332147,0.167781438554573,0.169507565961955,1.30673601386701,3.28316888255291
"27-OCA",0.974685649620214,0.825083700431487,0.027740220674953,0.0228190298494381,0.98887904046804,0.927229149623934,11.179872031085,14.0018016931271,16.7919638042197,17.5806751522556,15.3644457807231,15.2995787231813,14.5873663524461,17.9081811385305,15.7854671876773,15.0785946272914,17.9077150757826,15.4108012392854,17.3570881962123,13.9892838250009,15.6331603114701,15.7324043890344,11.4216752122741,13.2210762143643,8.79072632959849,16.0925778524825,16.2266974378919,12.2732046674632,15.1726967187822,25.7549751257592,63.4973859617996,0.103644415718526,0.155017752400123,0.498353865325301,0.167436912146582,0.125479839044185,0.287103033082582,0.154571750814798,0.127475765446107,0.16020971047118,0.0989403986936232,0.201523103927993,0.121070440366163,0.15734560005221,0.273302462344638,0.272086744194163,0.102468677192018,0.126040783950302,0.100576502339696,0.120850403952793,0.094858368792785,0.12194704062976,0.172364625461573,0.183934059814331,1.32144954114566,3.24283600649536
"28-AKA",0.97441294680108,0.892936233662243,0.0229734927583284,0.0175202866400234,0.988816992447231,0.962548455991686,13.8786470227393,12.5486420370416,17.7247995700475,15.3500344243764,17.5599455147987,16.7256178301899,17.980455288053,17.3032179665962,15.8112552481675,15.286675606853,17.1978672447586,15.2527774511789,18.1257928924305,14.8642836888805,15.8762264198869,14.1010730624738,11.7736021822535,11.7568862078152,10.9216956569148,15.5136851319818,14.015881133764,11.3184532941241,16.2835683007086,25.8969003016314,65.9968904338379,0.102045321307484,0.14300148395702,0.504599894415512,0.158610954549436,0.128770359100039,0.324889315685909,0.14465497149862,0.120456055985657,0.169939108161872,0.106664527224966,0.196556802956341,0.107505719061937,0.164272172159305,0.295110442483678,0.314456175330269,0.113231743303029,0.121766405728875,0.115545843724171,0.115994031028757,0.103344286642764,0.108070803063721,0.170981726101863,0.19117700402402,1.30837150815619,3.14512627808986
"30-OLE",0.974207555872767,0.861909864670127,0.0229112014208183,0.0192231941433752,0.988707090388947,0.949683491152575,13.9865688942066,15.0862263786311,17.4508352105332,20.3455300936734,15.5147568713296,16.1400106327432,17.5227533481733,17.1524513604983,16.3017081203684,17.8639979896909,19.1530531996677,14.2560869982908,16.0790845232439,16.090940645012,15.0812098627373,16.333207271888,13.475989745624,10.710789153557,11.3910020866777,14.4272405769988,16.0193103311597,11.169985802531,15.3385646078565,25.9372778672385,66.390907089668,0.102090145188264,0.15092474237217,0.488085177902861,0.152111927828699,0.12242456988434,0.301599047477469,0.143967941437827,0.126047276877022,0.158978583377744,0.108147949211687,0.18522028122909,0.118827680629813,0.16807754322339,0.30600269329248,0.28780569420714,0.120809320737989,0.134351116759835,0.10204660786354,0.115326154544893,0.101216686678473,0.117985566271218,0.167032184313731,0.167719830856,1.23593865227781,3.26704730523463
"31-ACA",0.976294779584763,-0.309751693472013,0.0568743136756394,0.051485729709526,0.989622025497717,0.894837661856319,13.7372682134449,12.6899181945702,18.5825222239719,18.756809928548,14.2265867222059,16.0811617058889,11.9061480186449,16.3776562365814,14.9938467829369,16.5447127534717,18.4618949573075,14.4597765539056,15.6042917954341,15.2646866419256,14.9214880193646,15.6813649333014,11.4228806105723,10.0506933099151,9.94097068611786,13.9336511739321,14.8650038519311,11.860250221433,15.5776523984083,25.8657769567449,63.8417890059194,0.102684519969171,0.15294017061522,0.501033363905829,0.170400887363912,0.112247118156215,0.29049703694233,0.140744286957304,0.128405351155335,0.183294679739767,0.106320421062776,0.187912887485315,0.112754580987202,0.160273443842102,0.337321332654359,0.279463451427753,0.11158409890869,0.117721169982335,0.098048779349525,0.117571191645624,0.0984668658507904,0.126068492288382,0.176980306918649,0.168494244383136,1.3677672062347,3.32776591849055
"32-APU",0.97544457942524,0.550049658634176,0.0459242555227866,0.0409315463561983,0.989331358680161,0.900588099664791,12.938582041279,15.7794402870418,18.1716129078461,17.1623632278258,14.4243206077823,16.637258390403,19.7586655430751,14.9455058085468,16.4500003557271,16.0058737698491,18.420544483261,13.3940653617647,17.965885101689,16.882809725762,15.5763957357688,12.0644760663355,10.2745608005177,11.1703475781492,9.56119256737193,15.0706100258638,17.1432619228353,11.8824117187491,16.2011979450006,26.3511376269295,64.596693647508,0.120787358141634,0.155793139073856,0.526297868100623,0.157546520735833,0.113331127858478,0.315805452937535,0.143817037152248,0.119167441080441,0.167494389759354,0.103411500372059,0.195534385994809,0.114428499646368,0.161784599291351,0.349082400635035,0.279632531200477,0.110527962699084,0.11371012456998,0.0935169290005607,0.11397869029376,0.102374439983401,0.115604873585548,0.169553933624092,0.153554640705459,1.24385147568821,3.21074310693849
"33-AP",0.97513904234738,0.660833751122873,0.0361588522723663,0.0307876825416044,0.98912626435654,0.897722797326018,13.5073437538405,14.9888236745316,18.2910072115141,17.3326652712091,15.3480514373294,16.8414690942191,17.586429246363,15.4575878914254,14.3803573146321,16.3116278831081,19.2043754884633,13.5896147212682,17.9235058582732,15.4390005236249,15.7035155216154,13.2671839872404,11.826832454394,12.2475691601428,10.4828405310329,12.9147222788697,15.5857006877061,11.4882955543256,13.5707749661157,25.7757156659619,61.4786195877324,0.103428595824403,0.16801408064042,0.497746489135152,0.163538801412974,0.127211374085174,0.317717599287678,0.147181786913473,0.138516515216836,0.175241835547965,0.116198591265755,0.199322870420492,0.114714404931679,0.162362500989862,0.342581093558092,0.300546298856441,0.109580276319539,0.125606120016806,0.102729766263287,0.111243780513889,0.106328825645524,0.123726808993531,0.171968981048985,0.164388439984117,1.25853534074917,3.24816463567963
"36-UGT",0.974402785890579,0.879656736519233,0.0264291356168542,0.0208189795435975,0.988807292196515,0.95628244403481,14.1578469037539,12.9787264327193,16.6823320805467,18.3797342673311,13.4549121957697,16.7242595809154,12.6018884255024,16.4940512263123,16.3215949729527,17.3414936597421,18.6411469851178,15.2325817632141,18.5134172939578,16.325638342434,16.379812907862,15.1722831570522,10.5312187943838,10.3752433096493,12.097564383478,16.351858931014,14.3737186584728,11.1910051121328,17.8455719834327,23.6754104380299,69.5556668281217,0.115631541360098,0.150691065661278,0.442087046410095,0.161328832829432,0.123440158692015,0.33890006636702,0.144869908460604,0.116125887648629,0.173957308842867,0.100051504078121,0.196557470783797,0.112609439770394,0.163020421693209,0.346526617720357,0.31607453579678,0.108820295250022,0.113881995608139,0.0981872180147597,0.10677312720165,0.0960807023537001,0.119893683341181,0.166218104770451,0.139689086018449,1.29174915682018,3.27410754092411
"37-OT",0.974760015601801,0.863800585262289,0.0246606475254762,0.0172156567826893,0.988925861837426,0.935901208740244,11.7682940863941,14.9995217872738,16.9306755320948,17.6893122936016,13.8123652157994,15.6005296021358,12.8529580284552,14.2232692199302,16.7636129613608,14.7005521238189,21.1113021014141,16.4664289510775,18.3394284451322,16.2587818446261,15.3432266325198,16.7781922912046,11.4404954475852,11.0445521002607,12.0627906437424,13.1374022962469,16.9268692819191,12.328932602513,15.885792281776,26.3411372485423,67.3064952055829,0.110891808810104,0.159560250598736,0.456760462813738,0.165120800723479,0.13302250045149,0.28308588672429,0.145492290848532,0.125284874681171,0.165515922086942,0.106503287245975,0.206578403506051,0.105216649551394,0.154432014670122,0.37357611771472,0.307701301491662,0.108145242311632,0.128560173310785,0.103535522590599,0.118612910403827,0.103692045106553,0.11754205850009,0.176268976063998,0.168813140118875,1.27653519893205,3.30489961387193
